,title,company_name,location,stipend,intern_type
7864,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
7865,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
7866,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
7867,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
7868,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
7869,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7870,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7871,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7872,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
7873,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
7874,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
7875,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
7876,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
7877,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
7878,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
7879,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
7880,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
7881,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
7882,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
7883,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
